research_id,project_name,lead_scientist,start_date,status,summary,created_at
48,Cord Blood Derived Allogeneic CAR-NK Cell Therapy for CD19+ Lymphoma (Cohort 3),Dr. Rohan Bhattacharya,2024-05-21,Active,Off-the-shelf chimeric antigen receptor natural killer cells expanded from cryopreserved umbilical cord units.,2026-09-10 06:15:47.905438
49,Trehalose-Liposome Delivery as a Non-Toxic Alternative to DMSO (Cohort 3),Dr. Rajesh Sengupta,2026-05-25,In Review,Engineering cryoprotectant formulations reducing post-thaw DMSO toxicity in pediatric autologous transplantations.,2026-09-10 06:15:47.905438
50,Cord Blood Regulatory T-Cells (Tregs) for Solid Organ Tolerance (Cohort 3),Dr. Meera Joshi,2024-07-27,Ongoing,Preclinical evaluation of ex-vivo expanded cord blood Tregs to prevent allograft rejection in pediatric kidney transplant.,2026-09-10 06:15:47.905438
51,Optimization of Granulocyte-Colony Stimulating Factor Mobilization Schedules (Cohort 3),Dr. Elena Rostova,2025-03-08,Completed,Prospective comparative study of 4-day vs 5-day G-CSF dosing regimens on total CD34+ apheresis collection efficiency.,2026-09-10 06:15:47.905438
52,Spatial Transcriptomics of Bone Marrow Niches Post-Engraftment (Cohort 3),Dr. Kavita Deshmukh,2024-05-22,Active,Single-cell spatial profiling mapping donor cell reconstitution dynamics across osteoblast and vascular niches.,2026-09-10 06:15:47.905438
53,Mitochondrial Transfer from MSCs to Injured Endothelial Tissues (Cohort 3),Dr. Elena Rostova,2025-02-17,Ongoing,Investigating tunneling nanotube mediated organelle donation to reverse radiation-induced vascular damage.,2026-09-10 06:15:47.905438
54,Pre-Transplant NGS Chimerism Profiling for Minimal Residual Disease (Cohort 3),Dr. Anita Nair,2025-05-05,Ongoing,Developing ultra-sensitive duplex sequencing tracking donor chimerism down to 0.001% sensitivity.,2026-09-10 06:15:47.905438
55,Hydrogel Scaffold 3D Culture of Wharton's Jelly Mesenchymal Progenitors (Cohort 3),Dr. Kavita Deshmukh,2025-01-22,Active,Biomimetic biomaterial matrices augmenting paracrine vascular endothelial growth factor (VEGF) secretion.,2026-09-10 06:15:47.905438
56,Cryopreservation of Whole Umbilical Cord Tissue for Bio-Repository Storage (Cohort 3),Dr. Sunita Balasubramanian,2024-12-05,In Review,Standardizing slow-cooling protocols with programmable rate freezers to ensure multi-lineage differentiation.,2026-09-10 06:15:47.905438
57,Microfluidic Droplet Sorting of Rare Hematopoietic Stem Cell Subsets (Cohort 3),Dr. Vikramaditya Roy,2024-09-21,Ongoing,Acoustic microfluidics isolating CD34+ CD38- CD90+ CD45RA- long-term repopulating stem cells.,2026-09-10 06:15:47.905438
58,Immune Reconstitution Following CD34+ Selected Autologous Transplants (Cohort 3),Dr. Meera Joshi,2024-12-25,Completed,Five-year longitudinal follow-up tracking thymic output and T-cell receptor repertoire diversification.,2026-09-10 06:15:47.905438
59,Targeting Senescence-Associated Secretory Phenotype in Aged Biobank Samples (Cohort 3),Dr. Kavita Deshmukh,2025-11-29,Active,Senolytic clearance of senescent stromal populations to restore juvenile proliferative potential in stored grafts.,2026-09-10 06:15:47.905438
60,Cold-Chain Continuous Temperature Telemetry across Air Transits (Cohort 3),Dr. Rohan Bhattacharya,2025-12-16,Completed,Validating multi-sensor IoT cryogenic dry shipper telemetry during international stem cell courier transfers.,2026-09-10 06:15:47.905438
61,Allogeneic HSC Engraftment Acceleration via Ex-Vivo Fucosylation (Cohort 4),Dr. Rohan Bhattacharya,2025-03-27,Ongoing,Investigating enzymatic cell surface fucosylation to improve bone marrow homing velocity in cord blood grafts.,2026-09-10 06:15:47.905438
62,CRISPR-Cas9 BCL11A Enhancer Editing for Sickle Cell Disease (Cohort 4),Dr. Elena Rostova,2026-06-30,Active,Autologous CD34+ editing inducing high fetal hemoglobin (HbF) expression to eliminate vaso-occlusive crises.,2026-09-10 06:15:47.905438
63,Mesenchymal Stem Cell Infusion for Steroid-Refractory Acute GVHD (Cohort 4),Dr. Sunita Balasubramanian,2024-08-16,Ongoing,Phase II trial evaluating third-party umbilical cord MSCs for suppressing gut and liver graft-versus-host disease.,2026-09-10 06:15:47.905438
64,Automated Closed-System Processing Protocol for Cord Blood Units (Cohort 4),Dr. Sanjay Verma,2025-10-13,Completed,Validation of closed centrifuge-based RBC depletion and volume reduction yielding >92% nucleated cell recovery.,2026-09-10 06:15:47.905438
65,15-Year Cryopreservation Potency Evaluation of CD34+ Stem Cells (Cohort 4),Dr. Kavita Deshmukh,2025-07-15,Completed,"Long-term biobank stability study confirming cell membrane viability, colony forming units (CFU), and engraftment capacity.",2026-09-10 06:15:47.905438
66,Post-Transplant Cyclophosphamide in Haploidentical Stem Cell Transplants (Cohort 4),Dr. Vikramaditya Roy,2025-09-23,Active,Evaluating high-dose PTCy on days +3 and +4 to mitigate severe GVHD in half-matched familial donor recipients.,2026-09-10 06:15:47.905438
67,Induced Pluripotent Stem Cell (iPSC) Disease Modeling in AML (Cohort 4),Dr. Rajesh Sengupta,2024-08-06,Ongoing,Deriving patient-specific iPSC lines harboring FLT3-ITD and NPM1 mutations to screen targeted small-molecule inhibitors.,2026-09-10 06:15:47.905438
68,Cord Blood Derived Allogeneic CAR-NK Cell Therapy for CD19+ Lymphoma (Cohort 4),Dr. Elena Rostova,2024-11-27,Active,Off-the-shelf chimeric antigen receptor natural killer cells expanded from cryopreserved umbilical cord units.,2026-09-10 06:15:47.905438
69,Trehalose-Liposome Delivery as a Non-Toxic Alternative to DMSO (Cohort 4),Dr. Rajesh Sengupta,2024-11-01,In Review,Engineering cryoprotectant formulations reducing post-thaw DMSO toxicity in pediatric autologous transplantations.,2026-09-10 06:15:47.905438
70,Cord Blood Regulatory T-Cells (Tregs) for Solid Organ Tolerance (Cohort 4),Dr. Deepak Sharma,2025-08-29,Ongoing,Preclinical evaluation of ex-vivo expanded cord blood Tregs to prevent allograft rejection in pediatric kidney transplant.,2026-09-10 06:15:47.905438
71,Optimization of Granulocyte-Colony Stimulating Factor Mobilization Schedules (Cohort 4),Dr. Sunita Balasubramanian,2024-08-25,Completed,Prospective comparative study of 4-day vs 5-day G-CSF dosing regimens on total CD34+ apheresis collection efficiency.,2026-09-10 06:15:47.905438
72,Spatial Transcriptomics of Bone Marrow Niches Post-Engraftment (Cohort 4),Dr. Priya Nambiar,2024-05-18,Active,Single-cell spatial profiling mapping donor cell reconstitution dynamics across osteoblast and vascular niches.,2026-09-10 06:15:47.905438
73,Mitochondrial Transfer from MSCs to Injured Endothelial Tissues (Cohort 4),Dr. Elena Rostova,2025-01-08,Ongoing,Investigating tunneling nanotube mediated organelle donation to reverse radiation-induced vascular damage.,2026-09-10 06:15:47.905438
74,Pre-Transplant NGS Chimerism Profiling for Minimal Residual Disease (Cohort 4),Dr. Deepak Sharma,2024-12-28,Ongoing,Developing ultra-sensitive duplex sequencing tracking donor chimerism down to 0.001% sensitivity.,2026-09-10 06:15:47.905438
75,Hydrogel Scaffold 3D Culture of Wharton's Jelly Mesenchymal Progenitors (Cohort 4),Dr. Sunita Balasubramanian,2025-11-04,Active,Biomimetic biomaterial matrices augmenting paracrine vascular endothelial growth factor (VEGF) secretion.,2026-09-10 06:15:47.905438
76,Cryopreservation of Whole Umbilical Cord Tissue for Bio-Repository Storage (Cohort 4),Dr. Sanjay Verma,2025-08-20,In Review,Standardizing slow-cooling protocols with programmable rate freezers to ensure multi-lineage differentiation.,2026-09-10 06:15:47.905438
77,Microfluidic Droplet Sorting of Rare Hematopoietic Stem Cell Subsets (Cohort 4),Dr. Deepak Sharma,2026-06-24,Ongoing,Acoustic microfluidics isolating CD34+ CD38- CD90+ CD45RA- long-term repopulating stem cells.,2026-09-10 06:15:47.905438
78,Immune Reconstitution Following CD34+ Selected Autologous Transplants (Cohort 4),Dr. Arvind Swaminathan,2025-09-13,Completed,Five-year longitudinal follow-up tracking thymic output and T-cell receptor repertoire diversification.,2026-09-10 06:15:47.905438
79,Targeting Senescence-Associated Secretory Phenotype in Aged Biobank Samples (Cohort 4),Dr. Vikramaditya Roy,2024-06-28,Active,Senolytic clearance of senescent stromal populations to restore juvenile proliferative potential in stored grafts.,2026-09-10 06:15:47.905438
80,Cold-Chain Continuous Temperature Telemetry across Air Transits (Cohort 4),Dr. Kavita Deshmukh,2026-04-24,Completed,Validating multi-sensor IoT cryogenic dry shipper telemetry during international stem cell courier transfers.,2026-09-10 06:15:47.905438
81,Allogeneic HSC Engraftment Acceleration via Ex-Vivo Fucosylation (Cohort 5),Dr. Anita Nair,2025-02-16,Ongoing,Investigating enzymatic cell surface fucosylation to improve bone marrow homing velocity in cord blood grafts.,2026-09-10 06:15:47.905438
82,CRISPR-Cas9 BCL11A Enhancer Editing for Sickle Cell Disease (Cohort 5),Dr. Anita Nair,2024-08-27,Active,Autologous CD34+ editing inducing high fetal hemoglobin (HbF) expression to eliminate vaso-occlusive crises.,2026-09-10 06:15:47.905438
83,Mesenchymal Stem Cell Infusion for Steroid-Refractory Acute GVHD (Cohort 5),Dr. Vikramaditya Roy,2025-07-19,Ongoing,Phase II trial evaluating third-party umbilical cord MSCs for suppressing gut and liver graft-versus-host disease.,2026-09-10 06:15:47.905438
84,Automated Closed-System Processing Protocol for Cord Blood Units (Cohort 5),Dr. Sanjay Verma,2026-07-06,Completed,Validation of closed centrifuge-based RBC depletion and volume reduction yielding >92% nucleated cell recovery.,2026-09-10 06:15:47.905438
85,15-Year Cryopreservation Potency Evaluation of CD34+ Stem Cells (Cohort 5),Dr. Elena Rostova,2024-05-07,Completed,"Long-term biobank stability study confirming cell membrane viability, colony forming units (CFU), and engraftment capacity.",2026-09-10 06:15:47.905438
86,Post-Transplant Cyclophosphamide in Haploidentical Stem Cell Transplants (Cohort 5),Dr. Meera Joshi,2026-03-27,Active,Evaluating high-dose PTCy on days +3 and +4 to mitigate severe GVHD in half-matched familial donor recipients.,2026-09-10 06:15:47.905438
87,Induced Pluripotent Stem Cell (iPSC) Disease Modeling in AML (Cohort 5),Dr. Sanjay Verma,2025-11-10,Ongoing,Deriving patient-specific iPSC lines harboring FLT3-ITD and NPM1 mutations to screen targeted small-molecule inhibitors.,2026-09-10 06:15:47.905438
88,Cord Blood Derived Allogeneic CAR-NK Cell Therapy for CD19+ Lymphoma (Cohort 5),Dr. Rohan Bhattacharya,2024-09-09,Active,Off-the-shelf chimeric antigen receptor natural killer cells expanded from cryopreserved umbilical cord units.,2026-09-10 06:15:47.905438
89,Trehalose-Liposome Delivery as a Non-Toxic Alternative to DMSO (Cohort 5),Dr. Rajesh Sengupta,2025-10-15,In Review,Engineering cryoprotectant formulations reducing post-thaw DMSO toxicity in pediatric autologous transplantations.,2026-09-10 06:15:47.905438
90,Cord Blood Regulatory T-Cells (Tregs) for Solid Organ Tolerance (Cohort 5),Dr. Sanjay Verma,2024-09-03,Ongoing,Preclinical evaluation of ex-vivo expanded cord blood Tregs to prevent allograft rejection in pediatric kidney transplant.,2026-09-10 06:15:47.905438
91,Optimization of Granulocyte-Colony Stimulating Factor Mobilization Schedules (Cohort 5),Dr. Meera Joshi,2025-02-22,Completed,Prospective comparative study of 4-day vs 5-day G-CSF dosing regimens on total CD34+ apheresis collection efficiency.,2026-09-10 06:15:47.905438
92,Spatial Transcriptomics of Bone Marrow Niches Post-Engraftment (Cohort 5),Dr. Arvind Swaminathan,2025-10-23,Active,Single-cell spatial profiling mapping donor cell reconstitution dynamics across osteoblast and vascular niches.,2026-09-10 06:15:47.905438
93,Mitochondrial Transfer from MSCs to Injured Endothelial Tissues (Cohort 5),Dr. Rohan Bhattacharya,2025-06-26,Ongoing,Investigating tunneling nanotube mediated organelle donation to reverse radiation-induced vascular damage.,2026-09-10 06:15:47.905438
94,Pre-Transplant NGS Chimerism Profiling for Minimal Residual Disease (Cohort 5),Dr. Rajesh Sengupta,2024-06-02,Ongoing,Developing ultra-sensitive duplex sequencing tracking donor chimerism down to 0.001% sensitivity.,2026-09-10 06:15:47.905438
95,Hydrogel Scaffold 3D Culture of Wharton's Jelly Mesenchymal Progenitors (Cohort 5),Dr. Elena Rostova,2025-11-12,Active,Biomimetic biomaterial matrices augmenting paracrine vascular endothelial growth factor (VEGF) secretion.,2026-09-10 06:15:47.905438
96,Cryopreservation of Whole Umbilical Cord Tissue for Bio-Repository Storage (Cohort 5),Dr. Arvind Swaminathan,2026-06-09,In Review,Standardizing slow-cooling protocols with programmable rate freezers to ensure multi-lineage differentiation.,2026-09-10 06:15:47.905438
97,Microfluidic Droplet Sorting of Rare Hematopoietic Stem Cell Subsets (Cohort 5),Dr. Arvind Swaminathan,2025-11-26,Ongoing,Acoustic microfluidics isolating CD34+ CD38- CD90+ CD45RA- long-term repopulating stem cells.,2026-09-10 06:15:47.905438
98,Immune Reconstitution Following CD34+ Selected Autologous Transplants (Cohort 5),Dr. Rajesh Sengupta,2025-03-19,Completed,Five-year longitudinal follow-up tracking thymic output and T-cell receptor repertoire diversification.,2026-09-10 06:15:47.905438
99,Targeting Senescence-Associated Secretory Phenotype in Aged Biobank Samples (Cohort 5),Dr. Deepak Sharma,2025-01-16,Active,Senolytic clearance of senescent stromal populations to restore juvenile proliferative potential in stored grafts.,2026-09-10 06:15:47.905438
100,Cold-Chain Continuous Temperature Telemetry across Air Transits (Cohort 5),Dr. Sanjay Verma,2025-12-18,Completed,Validating multi-sensor IoT cryogenic dry shipper telemetry during international stem cell courier transfers.,2026-09-10 06:15:47.905438
