id,table_name,operation,record_id,changed_at,changed_by,old_values,new_values
40,research,VERIFY,24,2026-09-10 06:15:47.917892,lab_lead,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
41,storage,INSERT,95,2026-09-10 06:15:47.917892,lab_lead,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
42,inventory,INSERT,97,2026-09-10 06:15:47.917892,auditor_qa,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
43,research,VERIFY,42,2026-09-10 06:15:47.917892,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
44,storage,INSERT,21,2026-09-10 06:15:47.917892,auditor_qa,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
45,donors,CRYO_CHECK,32,2026-09-10 06:15:47.917892,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
46,donors,CRYO_CHECK,74,2026-09-10 06:15:47.917892,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
47,patients,CRYO_CHECK,64,2026-09-10 06:15:47.917892,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
48,inventory,CRYO_CHECK,23,2026-09-10 06:15:47.917892,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
49,patients,CRYO_CHECK,18,2026-09-10 06:15:47.917892,registry_nurse,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
50,staff,UPDATE,3,2026-09-10 06:15:47.917892,sysadmin,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
51,storage,VERIFY,4,2026-09-10 06:15:47.917892,lab_lead,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
52,research,VERIFY,76,2026-09-10 06:15:47.917892,sysadmin,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
53,staff,VERIFY,96,2026-09-10 06:15:47.917892,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
54,donors,UPDATE,100,2026-09-10 06:15:47.917892,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
55,patients,INSERT,93,2026-09-10 06:15:47.917892,lab_lead,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
56,storage,VERIFY,69,2026-09-10 06:15:47.917892,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
57,staff,UPDATE,15,2026-09-10 06:15:47.917892,lab_lead,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
58,donors,INSERT,18,2026-09-10 06:15:47.917892,sysadmin,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
59,staff,INSERT,50,2026-09-10 06:15:47.917892,lab_lead,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
60,inventory,INSERT,3,2026-09-10 06:15:47.917892,lab_lead,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
61,inventory,UPDATE,63,2026-09-10 06:15:47.917892,sysadmin,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
62,storage,INSERT,57,2026-09-10 06:15:47.917892,lab_lead,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
63,donors,VERIFY,38,2026-09-10 06:15:47.917892,registry_nurse,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
64,research,UPDATE,15,2026-09-10 06:15:47.917892,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
65,staff,VERIFY,27,2026-09-10 06:15:47.917892,lab_lead,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
66,research,INSERT,56,2026-09-10 06:15:47.917892,registry_nurse,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
67,staff,INSERT,59,2026-09-10 06:15:47.917892,registry_nurse,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
68,storage,UPDATE,57,2026-09-10 06:15:47.917892,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
69,patients,UPDATE,6,2026-09-10 06:15:47.917892,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
70,storage,UPDATE,66,2026-09-10 06:15:47.917892,lab_lead,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
71,donors,VERIFY,22,2026-09-10 06:15:47.917892,sysadmin,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
72,staff,INSERT,23,2026-09-10 06:15:47.917892,registry_nurse,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
73,storage,INSERT,91,2026-09-10 06:15:47.917892,dr_sarah,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
74,donors,VERIFY,55,2026-09-10 06:15:47.917892,lab_lead,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
75,research,INSERT,11,2026-09-10 06:15:47.917892,sysadmin,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
76,staff,UPDATE,27,2026-09-10 06:15:47.917892,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
77,inventory,VERIFY,5,2026-09-10 06:15:47.917892,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
78,storage,CRYO_CHECK,53,2026-09-10 06:15:47.917892,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
79,inventory,VERIFY,30,2026-09-10 06:15:47.917892,lab_lead,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
80,inventory,UPDATE,38,2026-09-10 06:15:47.917892,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
81,patients,CRYO_CHECK,56,2026-09-10 06:15:47.917892,lab_lead,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
82,patients,VERIFY,8,2026-09-10 06:15:47.917892,registry_nurse,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
83,storage,VERIFY,54,2026-09-10 06:15:47.917892,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
84,staff,VERIFY,34,2026-09-10 06:15:47.917892,lab_lead,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
85,storage,CRYO_CHECK,80,2026-09-10 06:15:47.917892,sysadmin,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
86,research,UPDATE,30,2026-09-10 06:15:47.917892,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
87,donors,UPDATE,59,2026-09-10 06:15:47.917892,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
88,research,CRYO_CHECK,73,2026-09-10 06:15:47.917892,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
89,inventory,CRYO_CHECK,49,2026-09-10 06:15:47.917892,lab_lead,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
90,inventory,INSERT,29,2026-09-10 06:15:47.917892,dr_sarah,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
91,patients,VERIFY,99,2026-09-10 06:15:47.917892,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
92,research,INSERT,83,2026-09-10 06:15:47.917892,dr_sarah,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
93,patients,UPDATE,59,2026-09-10 06:15:47.917892,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
94,staff,VERIFY,95,2026-09-10 06:15:47.917892,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
95,inventory,UPDATE,3,2026-09-10 06:15:47.917892,lab_lead,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
96,staff,UPDATE,52,2026-09-10 06:15:47.917892,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
97,research,CRYO_CHECK,41,2026-09-10 06:15:47.917892,registry_nurse,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
98,research,CRYO_CHECK,8,2026-09-10 06:15:47.917892,sysadmin,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
99,staff,INSERT,94,2026-09-10 06:15:47.917892,cryo_eng,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
100,staff,INSERT,35,2026-09-10 06:15:47.917892,lab_lead,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
